[2023-11-21 18:23:57] [info]  [ 9212] Service started in 1233 milliseconds.
[2023-11-21 18:35:42] [info]  [ 6404] Service SERVICE_CONTROL_STOP signalled.
[2023-11-21 18:35:42] [info]  [10644] Stopping service...
[2023-11-21 18:35:43] [info]  [10644] Service stop thread completed.
[2023-11-21 18:35:43] [info]  [ 6404] Run service finished.
[2023-11-21 18:35:43] [info]  [ 6404] Apache Commons Daemon procrun finished.
[2023-11-21 19:06:49] [info]  [ 8568] Apache Commons Daemon procrun (1.3.4.0 64-bit) started.
[2023-11-21 19:06:49] [info]  [ 8568] Running Service 'Tomcat10'...
[2023-11-21 19:06:49] [info]  [ 1356] Starting service...
[2023-11-21 19:06:51] [info]  [ 1356] Service started in 1228 milliseconds.
[2023-11-21 19:08:21] [info]  [ 8568] Service SERVICE_CONTROL_STOP signalled.
[2023-11-21 19:08:21] [info]  [ 6044] Stopping service...
[2023-11-21 19:08:22] [info]  [ 6044] Service stop thread completed.
[2023-11-21 19:08:22] [info]  [ 8568] Run service finished.
[2023-11-21 19:08:22] [info]  [ 8568] Apache Commons Daemon procrun finished.
[2023-11-21 19:09:41] [info]  [ 1740] Apache Commons Daemon procrun (1.3.4.0 64-bit) started.
[2023-11-21 19:09:41] [info]  [ 1740] Running Service 'Tomcat10'...
[2023-11-21 19:09:41] [info]  [ 3788] Starting service...
[2023-11-21 19:09:42] [info]  [ 3788] Service started in 1238 milliseconds.
[2023-11-21 19:29:28] [info]  [ 1740] Service SERVICE_CONTROL_STOP signalled.
[2023-11-21 19:29:28] [info]  [10148] Stopping service...
[2023-11-21 19:29:29] [info]  [10148] Service stop thread completed.
[2023-11-21 19:29:29] [info]  [ 1740] Run service finished.
[2023-11-21 19:29:29] [info]  [ 1740] Apache Commons Daemon procrun finished.
